"target_rr","rep","K","method","rr_obs","weight_var","min_weight","max_weight","cov_mae_x","cov_bias_x","y_mean_err","y_mean_abs_err","y_pred_bias","y_pred_mae"
0.3,55,16,"constrained",0.296142857142857,2.61691341822548,0.296142857142857,25.4627867129283,0.00852622382440727,-0.00487493244676496,0.113415524105607,0.113415524105607,0.0804822754573903,1.0727731715651
0.3,55,20,"standard",0.296142857142857,2.4013903793435,0.127897811534968,22.59324621957,0.00945093989701078,-0.00487326224274625,0.0949790096225316,0.0949790096225316,0.0624659741500534,1.00602692035149
0.3,55,20,"constrained",0.296142857142857,2.61852789843518,0.296142857142857,24.4679811843963,0.00854172820579706,-0.00258103544825201,0.102288067961573,0.102288067961573,0.0667267709487877,1.00637207112923
0.3,55,25,"standard",0.296142857142857,2.40950791428287,0.109094314668965,21.521563946606,0.00945422219580053,-0.0052904156829041,0.0649016598481609,0.0649016598481609,0.0353731639434175,0.98239588138685
0.3,55,25,"constrained",0.296142857142857,2.63972572675613,0.296142857142857,23.3836357144518,0.00871790194889938,-0.00338022440423645,0.0734561217670837,0.0734561217670837,0.0404594083899424,0.982795462742453
0.3,56,8,"standard",0.300142857142857,2.04936637610754,0.205802584943677,19.5220549639219,0.0159505568648953,-0.0159505568648953,0.255243431743487,0.255243431743487,0.247659930440639,1.46397045992525
0.3,56,8,"constrained",0.300142857142857,2.18329139217083,0.300142857142857,20.8323369318781,0.0123191299098056,-0.0121436821933258,0.258240423873841,0.258240423873841,0.253504781777373,1.46417455203448
0.3,56,12,"standard",0.300142857142857,2.15769271427386,0.127578238024756,15.5339249194002,0.0145051570451129,-0.0123287324531452,0.123447001212801,0.123447001212801,0.122040649978583,1.24547293264656
0.3,56,12,"constrained",0.300142857142857,2.35431429831884,0.300142857142857,16.62305893389,0.01166877686596,-0.00899418148138855,0.124031467387966,0.124031467387966,0.126936186729415,1.24660197591222
0.3,56,16,"standard",0.300142857142857,2.15546078563245,0.103400687311079,15.614138232794,0.011824116074001,-0.00932110085163315,0.0577498934806897,0.0577498934806897,0.0661095465550011,1.08930996070101
0.3,56,16,"constrained",0.300142857142857,2.37145851385933,0.300142857142857,17.5881976711028,0.010066539665822,-0.00647345940631148,0.0581657768544233,0.0581657768544233,0.0697211934458183,1.09100753410163
0.3,56,20,"standard",0.300142857142857,2.1628537505921,0.0919332292932842,16.882070065024,0.0113334737400277,-0.00537178580613259,0.0539008229130165,0.0539008229130165,0.0611475553483876,1.01321472518991
0.3,56,20,"constrained",0.300142857142857,2.38518250512769,0.300142857142857,18.3312730047315,0.0102232680717821,-0.00324382687976225,0.0571693810529776,0.0571693810529776,0.0662150788286594,1.01387752204943
0.3,56,25,"standard",0.300142857142857,2.19111515153828,0.0809034571785376,15.8550474668716,0.00992723650465271,-0.00466246352505304,0.0323823205291047,0.0323823205291047,0.0413275833760123,0.993835960767327
0.3,56,25,"constrained",0.300142857142857,2.43565991152158,0.300142857142857,17.6492087171784,0.00910524350318558,-0.00288403972884219,0.0365032641697436,0.0365032641697436,0.0469145216756296,0.995492838095526
0.3,57,8,"standard",0.299285714285714,2.2670710477747,0.208160341058004,19.897518149984,0.0141056695637232,-0.0140565279743667,0.384085326421329,0.384085326421329,0.419774790329275,1.51254783204573
0.3,57,8,"constrained",0.299285714285714,2.41527678071203,0.299285714285714,21.1465511518972,0.011175816562429,-0.0102149529065711,0.396842226747149,0.396842226747149,0.421606877774723,1.51357069449002
0.3,57,12,"standard",0.299285714285714,2.27968853626784,0.123158196014748,24.2307000516321,0.0145941431308869,-0.0125324647582758,0.188791092073748,0.188791092073748,0.200306033230745,1.25665325258841
0.3,57,12,"constrained",0.299285714285714,2.50249574119549,0.299285714285714,27.0536228175144,0.0121482792332957,-0.00920392119907693,0.198202317181995,0.198202317181995,0.201085791265907,1.25788575256171
0.3,57,16,"standard",0.299285714285714,2.33566925587153,0.102647500362831,26.7420188449734,0.0137359223681057,-0.0115312494664552,0.0648592014589626,0.0648592014589626,0.068856033180047,1.09650330648507
0.3,57,16,"constrained",0.299285714285714,2.62363930655192,0.299285714285714,30.5812456154282,0.0114043344871753,-0.00841128279582464,0.0703597650696413,0.0703597650696413,0.0686750706805448,1.0996926785535
0.3,57,20,"standard",0.299285714285714,2.34242559314863,0.0938144254750855,26.0550438500935,0.0119214529454058,-0.00926031889251756,0.0372186790482427,0.0372186790482427,0.0382508718289402,1.03137013637938
0.3,57,20,"constrained",0.299285714285714,2.62949041484424,0.299285714285714,29.561306226045,0.0103466333265584,-0.00678461628472565,0.0432758548924559,0.0432758548924559,0.0387751897151504,1.03489011095155
0.3,57,25,"standard",0.299285714285714,2.38627956795242,0.0782326500508292,27.2862296786813,0.0108292567171906,-0.00697442761609681,0.00934535576851392,0.00934535576851392,0.00828206426407074,1.00551014582493
0.3,57,25,"constrained",0.299285714285714,2.72066044776639,0.299285714285714,31.1485441312828,0.00971183572917663,-0.00482889328941486,0.0178923001133864,0.0178923001133864,0.00952468809964093,1.00922271789173
0.3,58,8,"standard",0.301285714285714,2.19143904854699,0.212876249773598,19.2908243350441,0.01271042153353,-0.0126604823681706,0.415676436753795,0.415676436753795,0.484562500109002,1.53317017313341
0.3,58,8,"constrained",0.301285714285714,2.31698054462683,0.301285714285714,20.430611098832,0.00981364865099092,-0.00907101707059204,0.422661288208909,0.422661288208909,0.483397456732275,1.5336031835112
0.3,58,12,"standard",0.301285714285714,2.34626073498608,0.134628600372035,20.5311585361774,0.0121354898678359,-0.0112252800363406,0.195420607748932,0.195420607748932,0.257514256183529,1.26119476517962
0.3,58,12,"constrained",0.301285714285714,2.54856868550398,0.301285714285714,22.199395523821,0.00976175541869471,-0.00784299634416336,0.202822097103894,0.202822097103894,0.255006276656056,1.26135737801914
