"method","K","weight_var_mean","weight_var_median","weight_var_sd","cov_mae_x_mean","cov_mae_x_median","cov_mae_x_sd","y_mean_abs_err_mean","y_mean_abs_err_median","y_mean_abs_err_sd","y_pred_mae_mean","y_pred_mae_median","y_pred_mae_sd","margin_max_abs_err_mean","margin_max_abs_err_median","margin_max_abs_err_sd","min_weight_mean","min_weight_median","min_weight_sd","max_weight_mean","max_weight_median","max_weight_sd"
"standard",14,2.14282130150006,2.12788791536207,0.224654092815934,0.0119654000491998,0.0119345089779886,0.00211524125819949,0.115332620266427,0.115626283630003,0.0551834868737933,1.14504698391792,1.14306066354928,0.00960666149579907,7.73597064185339e-11,6.29080121328229e-12,2.69849431566143e-10,0.119698877975235,0.121476982932794,0.014536281830237,20.1019920925238,19.6013695890182,3.53318437364547
"constrained",15,2.40191842428849,2.3832912199501,0.291385858735507,0.00940362442344995,0.00931411315412344,0.00148911068969493,0.106918228603953,0.109548636829919,0.0539122219501054,1.11357958035028,1.11105431716288,0.00994093643964456,1.36713807663558e-09,1.34301042509222e-09,2.88115974550402e-10,0.300031428571429,0.299928571428571,0.00610755587069551,22.6395065831249,22.1673087690689,4.40424697012198
"standard",15,2.1522475632203,2.13569952842185,0.223683487906099,0.0117421812583744,0.0115281392420574,0.00202764770576007,0.0984846220340605,0.099475598244624,0.051423262577942,1.11231711681769,1.10979866123579,0.0095402746558488,8.35433511259254e-11,6.70608013564333e-12,2.76763606097646e-10,0.116106685986704,0.117160883403382,0.0143403065512249,20.1184737019484,19.8991861836634,3.51352742213258
"constrained",16,2.41673644205314,2.38676847309531,0.296758347169132,0.00931946862362205,0.00921892089605464,0.00145409753829793,0.0927974577087914,0.0908014469085594,0.0511999604538425,1.08294007582916,1.08154207851004,0.00900835379043638,1.48892071116791e-09,1.49896553502948e-09,3.27519834251418e-10,0.300031428571429,0.299928571428571,0.00610755587069551,22.6792040643527,21.9731096496546,4.66175082134619
"standard",16,2.16215878623269,2.14116825018389,0.226568207463628,0.0115221748187164,0.0112253772532923,0.00200624143895698,0.0840949237191397,0.0829653516940327,0.0490464367621026,1.0816469144477,1.08055792825989,0.00865133608967152,9.24899895560216e-11,7.34834415538899e-12,2.95203765369112e-10,0.113017424436499,0.114403090496238,0.0144122025980676,20.1340427817335,19.6663667501105,3.74611032234667
"constrained",17,2.42333365141354,2.39470811684393,0.296193304375318,0.00910924979512294,0.00909016965018952,0.00131558912466559,0.0859340779476616,0.0837453714386296,0.0488221283580602,1.06204154238181,1.05964539034641,0.0089185826330655,1.46424147418056e-09,1.50359641404307e-09,3.30435181330343e-10,0.300031428571429,0.299928571428571,0.00610755587069551,22.7964744462047,22.0503977697227,4.74508631592229
"standard",17,2.16595045008017,2.14391757908186,0.226164179697666,0.0110904807465762,0.0109877211038448,0.00180855138694188,0.0774613641309008,0.073369660001374,0.0464083728907184,1.06074786175975,1.05875256769776,0.00858096491197836,9.544608825518e-11,7.63950014359693e-12,3.03219841271187e-10,0.109309097478208,0.110043777726198,0.0140427877054155,20.2210461215842,19.62146390281,3.8114675531315
"constrained",18,2.43181784749007,2.40565529905226,0.295150497286873,0.00901639275142902,0.00876271920224358,0.00122889338960725,0.0784350525179937,0.0786246592320885,0.0467756336979672,1.04751875257346,1.04523498400257,0.00853063947087191,1.43897988802433e-09,1.44015904757211e-09,3.28226766641722e-10,0.300031428571429,0.299928571428571,0.00610755587069551,22.6971874570781,21.9534336672224,4.74942211508806
"standard",18,2.16969076894301,2.14510000784292,0.224589582301467,0.0108322267784829,0.0105960410252904,0.00168204352918632,0.0703152342910765,0.067923776045042,0.0441435616739376,1.04613250040772,1.04453855642727,0.0081423715716684,1.02758586084661e-10,8.72962813147637e-12,3.3399027120012e-10,0.104564008175192,0.105739565225613,0.0140201352411964,20.1396369690258,19.5568262726366,3.82326134329501
"constrained",19,2.44162644726811,2.42261768866321,0.298894490392944,0.00888590909815818,0.00868182630619479,0.00117146601968193,0.0728623971135371,0.0710922051599256,0.0457988070694086,1.03331750830669,1.03160674291028,0.008093154893779,1.3480481075856e-09,1.27074958888862e-09,3.21628261002712e-10,0.300031428571429,0.299928571428571,0.00610755587069551,22.9554013391907,22.1728136214285,4.79769679837877
"standard",19,2.17575293373396,2.14362142238358,0.22678987305551,0.010553917237799,0.0103492579358577,0.00158238556679368,0.0652043726626159,0.0618189186260496,0.0425729182352143,1.03184115303798,1.03002823744498,0.00767837066907626,8.58760845767748e-11,8.7564955286723e-12,2.70940250386898e-10,0.101748452307906,0.103578341336666,0.0144965057127022,20.3308654759434,19.6456336064658,3.8536719838796
"constrained",20,2.45168452451254,2.42670431482194,0.301304678999063,0.00883293605685551,0.00864733285355405,0.00107949718335363,0.066660268734818,0.0652128565139201,0.0440093023427308,1.02005849166339,1.01864696480674,0.00773069476790536,1.38440791497274e-09,1.37440875347394e-09,3.14638618704894e-10,0.300031428571429,0.299928571428571,0.00610755587069551,22.9754847953794,22.163985792019,4.72571728254708
"standard",20,2.18154137993107,2.1495678777385,0.227431742654618,0.0103861021703749,0.010209993432836,0.00147202347523243,0.0595489058178421,0.0545720348493601,0.0404967931939642,1.01853550150183,1.01701984303598,0.00731913266051812,9.28143473188925e-11,9.30477916938344e-12,3.05820439097106e-10,0.0992316064384723,0.100221600771306,0.0143611321307853,20.3431805701313,19.714158296823,3.80410912745314
